"drefus","fidel","keystne","Putnminc","scudinc","windsor","valmrkt","tbill"
0.037351001,0.045185,0.066964,-0.003911,-0.008627,0.014327,0.020668,0.0051
-0.003273,-0.00262,0.020920999,0.006545,0.00517,-0.012241,-0.011911,0.0054
0.083743997,0.098073997,0.089396998,0.009753,0.014695,0.045758002,0.057659,0.0056
0.034272999,0.051833998,0.095420003,0.015768999,0.014482,0.045579001,0.038702,0.0056
-0.007364,-0.040181998,-0.033101,0.002587,0.000727,0.006975,-0.0058,0.0062
-0.126112998,-0.159162998,-0.236036003,-0.014839,-0.023239,-0.120346002,-0.104520999,0.0068
0.039283,0.057774,0.089622997,0.008043,0.008922,0.016930001,0.032504,0.007
0.01479,0.024201,0.028139001,-0.009309,-0.007536,0.012209,0.016550001,0.0078
0.037246998,0.035920002,0.050526001,0.020576,0.019742001,0.051534999,0.046866,0.0077
-0.039662,-0.052226,-0.058116,-0.006183,-0.005957,-0.026069,-0.02696,0.0073
0.067662999,0.090786003,0.127660006,0.011444,0.01374,0.077087998,0.063675001,0.0081
0.004115,0.00911,0.018867999,-0.006242,0.001506,0.021869,0.007963,0.008
-0.008244,-0.006565,-0.027778,0.015681,0.012782,-0.00993,-0.014261,0.0082
0.062344,0.052044999,0.079999998,0.018281,0.02197,0.05015,0.045462001,0.0081
0.023474,0.030231999,0.014363,-0.003509,0,0.021968,0.013234,0.0077
0.052267,0.073551998,0.097345002,-0.000819,0.005189,0.077569999,0.064184003,0.0077
0.003652,-0.008165,0.019355001,-0.020083001,-0.013554,-0.007806,0.002,0.0083
-0.076419003,-0.089120001,-0.080696002,-0.072984003,-0.051144999,-0.092657,-0.070509002,0.0087
0.076862,0.067975998,0.111876003,0.023692001,0.011263,0.038001999,0.062066,0.0099
0.038263001,0.047828998,0.160990998,0.005152,-0.000818,0.016736001,0.025593,0.0095
0.061303999,0.043795999,0.006667,-0.040426001,-0.035216998,0.040123001,0.064531997,0.008
-0.01442,-0.061097,-0.011921,-0.079232998,-0.053479999,-0.035608001,0.002736,0.0089
-0.120701999,-0.102312997,-0.166219994,0.009457,-0.007373,-0.078974001,-0.115962997,0.0121
0.079034999,0.041485,0.065916002,0.114536002,0.090065002,0.044543002,0.050884001,0.0126
0.061239999,0.064150997,0.058823999,0.064025,0.052811001,0.079781003,0.058538999,0.0081
0.030679001,0.020095,0.052707002,0.02012,0.025705,0.029352,0.036591999,0.0061
0.065911002,0.080339998,0.121211998,-0.023145,-0.031528,0.066863,0.067720003,0.0053
0.022043999,0.034680001,0.054053999,-0.042266,0,0.020276001,0.020354001,0.0064
0.027450999,0.042847,0.032634001,-0.018226,-0.020547999,0.014453,0.028612001,0.0075
0.020992,0.028827,0.063204996,-0.013765,-0.026224,-0.007124,0.019529,0.0095
0.070712999,0.109500997,0.188960001,0.011375,0.008079,0.030999999,0.103955999,0.0096
-0.019286999,-0.052829999,-0.032143001,0.011356,0.023084,0.010669,-0.034437999,0.0131
-0.016687,-0.082837,-0.099630997,-0.003892,-0.012635,0.012476,-0.041753002,0.0104
0.017693,0.02258,-0.003074,-0.019382,-0.025594,0.029384,0.01674,0.0107
0.070932001,0.056541,0.076053001,0.033039,0.039652001,0.080109999,0.044944,0.0121
0.007143,-0.0057,-0.008596,-0.041969001,-0.039999999,-0.001705,-0.013669,0.0108
0.022668,0.013057,0.059730001,0.050455,0.041666999,0.027996,0.012959,0.0115
-0.006333,-0.015718,0.166363999,0.004729,-0.003842,0.022979001,-0.009191,0.0135
-0.01211,0.001916,-0.332307994,-0.026937,-0.022179,-0.006656,-0.000975,0.0124
-0.047309998,-0.058655001,-0.115207002,-0.015174,-0.018738,-0.047738999,-0.054159999,0.0128
-0.059184,-0.063663997,-0.09375,-0.016697999,-0.019792,-0.030782999,-0.063960999,0.0124
0.06363,0.083906002,0.137931004,0.054246999,0.048884001,0.045372002,0.05807,0.0121
0.049862999,0.032699,0.006734,0.107593,0.102329999,0.050935999,0.046755999,0.0107
-0.027977001,-0.024233,-0.048494998,-0.036993001,-0.039886002,-0.018793,-0.028382,0.0087
-0.021083999,-0.075093001,-0.068540998,0.00195,-0.000989,-0.026210001,-0.024019999,0.008
-0.038754001,-0.004041,-0.086792,0.016279001,0.011881,-0.037266999,-0.053196002,0.0092
-0.019763,-0.022248,-0.035124,0.014413,0.009091,0.019355001,-0.010442,0.0098
0.053226002,0.046307001,0.066381,0.033865001,0.030029999,0.032699998,0.04253,0.013
-0.034642,-0.041205999,-0.040160999,0.015771,0.009718,-0.017837999,-0.027274,0.0106
-0.027113,-0.021886,-0.008368,-0.017069001,-0.021825001,-0.022436,-0.023429999,0.0096
-0.013934,-0.039462999,-0.036093,0.040957,0.030425999,-0.027322,-0.020539001,0.0105
0.098661996,0.116899997,0.105727002,0.064715996,0.065944999,0.116853997,0.123997003,0.0076
0.019787,0.005688,0.003984,0.050000001,0.039923999,0.026156999,0.012188,0.0051
0.088806003,0.139139995,0.220238,0.055975001,0.057587001,0.112745002,0.115767002,0.0059
0.02135,0.067195997,0.115447,0.017444,0.019879,0.022,0.048586,0.0063
0.016183,-0.011787,-0.007289,0.018805999,0.017437,0.013699,0.015913,0.0067
