Sunday,daily
2313,1886
1766,1155
1497,1097
1140,816
928,764
826,748
1107,694
1187,558
708,549
524,536
814,527
814,508
944,487
704,474
709,442
607,413
696,411
543,396
509,387
455,384
1186,367
548,348
408,344
453,343
559,342
483,338
441,333
428,324
214,322
378,302
431,291
440,285
321,284
342,282
338,270
401,264
320,264
375,263
346,255
347,252
456,250
340,246
326,236
301,233
496,232
411,232
321,230
504,229
