auction_id,auction_description,round,bidder_frn,bidder_name,item_name,item_description,round_of_pwb,pwb_amount,net_pwb_amount,EA,REA,CMA,Block
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA089-B,"Wichita, KS",37,12123000,12123000,0,0,89,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA090-B,"Charleston, SC",21,13409000,13409000,0,0,90,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA106-B,"Jackson, MS",68,7131000,7131000,0,0,106,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA107-B,"Stockton, CA",31,10238000,10238000,0,0,107,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA261-B,"Albany, GA",207,557000,557000,0,0,261,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA260-B,"Lawton, OK",27,764000,573000,0,0,260,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA305-B,"Alton-Granite City, IL",18,145000,108750,0,0,305,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA329-B,Arkansas 6 - Cleburne,21,652000,652000,0,0,329,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA330-B,Arkansas 7 - Pope,21,1203000,1203000,0,0,330,B
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA346-B,California 11 - El Dorado,50,540000,405000,0,0,346,B
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA361-B,Florida 2 - Glades,26,281000,210750,0,0,361,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA362-B,Florida 3 - Hardee,26,453000,453000,0,0,362,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA619-B,Pennsylvania 8 - Union,27,4744000,4744000,0,0,619,B
73,700 MHz Band,261,15024631,"Cavalier Wireless, LLC",WY-CMA620-B,Pennsylvania 9 - Greene,84,139000,104250,0,0,620,B
73,700 MHz Band,261,14152201,"LL License Holdings, LLC",WY-BEA116-A,Sioux Falls SD-IA-MN-NE,157,976000,829600,116,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA115-E,Rapid City SD-MT-NE-ND,105,387000,387000,115,0,0,E
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA011-E,Harrisburg-Lebanon-Carlisle PA,72,375000,375000,11,0,0,E
73,700 MHz Band,261,17190216,Continuum 700 LLC,WY-BEA015-A,Richmond-Petersburg VA,181,7202000,5401500,15,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA014-E,Salisbury MD-DE-VA,174,272000,272000,14,0,0,E
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-BEA031-A,Miami-Fort Lauderdale FL,23,64773000,64773000,31,0,0,A
73,700 MHz Band,261,5411426,"Cellular South Licenses, Inc.",WY-BEA078-A,Birmingham AL,19,15856000,15856000,78,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA077-E,Jackson MS-AL-LA,65,1405000,1405000,77,0,0,E
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA123-B,"Santa Rosa-Petaluma, CA",31,5181000,5181000,0,0,123,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA124-B,"Santa Barbara, CA",31,12251000,12251000,0,0,124,B
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA175-B,"Santa Cruz, CA",52,989000,741750,0,0,175,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA278-B,"Columbia, MO",19,1215000,1215000,0,0,278,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA279-B,"Lewiston-Auburn, ME",217,220000,165000,0,0,279,B
73,700 MHz Band,261,17190224,Club 42 CM Limited Partnership,WY-CMA733-B,American Samoa,188,21000,15750,0,0,733,B
73,700 MHz Band,261,4242475,Choice Phone LLC,WY-CMA734-B,Northern Mariana Islands,169,70000,70000,0,0,734,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA517-B,Missouri 14 - Barton,22,1657000,1657000,0,0,517,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA518-B,Missouri 15 - Stone,21,1427000,1427000,0,0,518,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA535-B,Nebraska 3 - Knox,27,3437000,2577750,0,0,535,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA501-B,Mississippi 9 - Copiah,47,110000,110000,0,0,501,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA468-B,Maryland 2 - Kent,31,5783000,5783000,0,0,468,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA469-B,Maryland 3 - Frederick,23,564000,564000,0,0,469,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA476-B,Michigan 5 - Manistee,101,435000,435000,0,0,476,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA477-B,Michigan 6 - Roscommon,213,567000,567000,0,0,477,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA559-B,New York 1 - Jefferson,64,156000,117000,0,0,559,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA465-B,Maine 3 - Kennebec,22,1186000,889500,0,0,465,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA505-B,Missouri 2 - Harrison,32,932000,699000,0,0,505,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA504-B,Missouri 1 - Atchison,27,548000,411000,0,0,504,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA522-B,Missouri 19 - Stoddard,18,1555000,1166250,0,0,522,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA473-B,Michigan 2 - Alger,95,1024000,1024000,0,0,473,B
73,700 MHz Band,261,4059523,"NSIGHTTEL WIRELESS, LLC",WY-CMA472-B,Michigan 1 - Gogebic,24,956000,956000,0,0,472,B
73,700 MHz Band,261,2623601,Redwood Wireless Corp.,WY-CMA489-B,Minnesota 8 - Lac qui Parle,21,506000,379500,0,0,489,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA496-B,Mississippi 4 - Yalobusha,72,323000,323000,0,0,496,B
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA497-B,Mississippi 5 - Washington,72,164000,164000,0,0,497,B
73,700 MHz Band,261,2388262,"Glenwood Telephone Membership, Corporati",WY-CMA538-B,Nebraska 6 - Keith,28,1214000,910500,0,0,538,B
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-CMA539-B,Nebraska 7 - Hall,26,2364000,2364000,0,0,539,B
73,700 MHz Band,261,5746508,"PCS Partners, L.P.",WY-CMA554-B,New Mexico 2 - Colfax,194,169000,126750,0,0,554,B
73,700 MHz Band,261,1612555,"PVT Networks, Inc.",WY-CMA555-B,New Mexico 3 - Catron,27,506000,430100,0,0,555,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA571-B,North Carolina 7 - Rockingham,30,8575000,8575000,0,0,571,B
73,700 MHz Band,261,4339933,"PTI Pacifica, Inc.",WY-BEA173-A,Guam-Northern Mariana Islands,153,1293000,1293000,173,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA172-E,Honolulu HI,76,1088000,1088000,172,0,0,E
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA070-B,"Long Branch-Asbury Park, NJ",27,26178000,26178000,0,0,70,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA086-B,"Albuquerque, NM",31,8124000,8124000,0,0,86,B
73,700 MHz Band,261,17182742,"Triad 700, LLC",WY-CMA154-B,"New London-Norwich, CT",85,717000,537750,0,0,154,B
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA086-E,Lake Charles LA,65,1597000,1597000,86,0,0,E
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-BEA086-A,Lake Charles LA,27,3533000,3533000,86,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA137-E,Lubbock TX,93,425000,425000,137,0,0,E
73,700 MHz Band,261,15024631,"Cavalier Wireless, LLC",WY-BEA021-A,Greenville NC,151,1613000,1209750,21,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA021-E,Greenville NC,29,371000,371000,21,0,0,E
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA028-B,"Indianapolis, IN",26,66058000,66058000,0,0,28,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA029-B,"New Orleans, LA",21,27888000,27888000,0,0,29,B
73,700 MHz Band,261,5411426,"Cellular South Licenses, Inc.",WY-CMA265-B,"Fort Walton Beach, FL",76,1554000,1554000,0,0,265,B
73,700 MHz Band,261,17164179,Worldcall Inc.,WY-CMA266-B,"Glens Falls, NY",63,400000,300000,0,0,266,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA574-B,North Carolina 10 - Harnett,39,9804000,7353000,0,0,574,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA575-B,North Carolina 11 - Hoke,25,1721000,1290750,0,0,575,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA705-B,West Virginia 5 - Tucker,23,292000,219000,0,0,705,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA706-B,West Virginia 6 - Lincoln,25,1044000,783000,0,0,706,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA721-B,Wyoming 4 - Niobrara,27,1867000,1867000,0,0,721,B
73,700 MHz Band,261,17176173,"Great American Broadband, Inc.",WY-CMA722-B,Wyoming 5 - Converse,53,94000,70500,0,0,722,B
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA009-E,State College PA,22,431000,431000,9,0,0,E
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-BEA010-A,NYC-Long Is. NY-NJ-CT-PA-MA-VT,10,429356000,429356000,10,0,0,A
73,700 MHz Band,261,1886944,"Horry Telephone Cooperative, Inc.",WY-BEA025-A,Wilmington NC-SC,172,8469000,8469000,25,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA024-E,Columbia SC,156,963000,963000,24,0,0,E
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA109-E,Duluth-Superior MN-WI,40,379000,379000,109,0,0,E
73,700 MHz Band,261,3548443,"Kurian, Thomas K",WY-BEA110-A,Grand Forks ND-MN,154,472000,354000,110,0,0,A
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-BEA046-A,Hickory-Morganton NC-TN,89,1140000,855000,46,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA130-E,Austin-San Marcos TX,67,2720000,2720000,130,0,0,E
73,700 MHz Band,261,3290673,Cellco Partnership d/b/a Verizon Wireles,WY-BEA131-A,Houston-Galveston-Brazoria TX,17,53474000,53474000,131,0,0,A
73,700 MHz Band,261,15031065,Manti Telephone Company,WY-BEA148-A,Idaho Falls ID-WY,80,1086000,814500,148,0,0,A
73,700 MHz Band,261,15006471,CenturyTel Broadband Wireless LLC,WY-CMA291-B,"Pine Bluff, AR",21,176000,176000,0,0,291,B
73,700 MHz Band,261,17195561,"Miller, David",WY-CMA292-B,"Sherman-Denison, TX",175,214000,160500,0,0,292,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA442-B,Kansas 15 - Elk,39,1443000,1082250,0,0,442,B
73,700 MHz Band,261,3730835,BPS Telephone Company,WY-CMA443-B,Kentucky 1 - Fulton,129,421000,315750,0,0,443,B
73,700 MHz Band,261,14980726,"AT&T Mobility Spectrum, LLC",WY-CMA647-B,Tennessee 5 - Fayette,43,2511000,2511000,0,0,647,B
73,700 MHz Band,261,5411426,"Cellular South Licenses, Inc.",WY-CMA648-B,Tennessee 6 - Giles,23,193000,193000,0,0,648,B
73,700 MHz Band,261,4367074,"C&W Enterprises, Inc.",WY-CMA664-B,Texas 13 - Reeves,28,45000,33750,0,0,664,B
73,700 MHz Band,261,1649508,"Central Texas Telephone Investments, LP",WY-CMA665-B,Texas 14 - Loving,162,192000,192000,0,0,665,B
73,700 MHz Band,261,17169327,"King Street Wireless, L.P.",WY-CMA682-B,Virginia 2 - Tazewell,21,519000,389250,0,0,682,B
73,700 MHz Band,261,15024631,"Cavalier Wireless, LLC",WY-BEA006-A,Syracuse NY-PA,25,1200000,900000,6,0,0,A
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA005-E,Albany-Schenectady-Troy NY,147,424000,424000,5,0,0,E
73,700 MHz Band,261,17173121,Frontier Wireless LLC,WY-BEA029-E,Jacksonville FL-GA,30,7543000,7543000,29,0,0,E
73,700 MHz Band,261,17190216,Continuum 700 LLC,WY-BEA029-A,Jacksonville FL-GA,33,29852000,22389000,29,0,0,A
